epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,447.871,0.97003,0.64028,1.46226,0.97272,0.96631,0.99297,0.70161,1.13974,0.67706,1.54176,0.000617396,0.000617396,0.000617396
43,457.925,0.94103,0.5985,1.42558,0.9888,0.99485,0.995,0.71,1.08623,0.61346,1.51224,0.00061504,0.00061504,0.00061504
44,467.926,0.92127,0.57924,1.41079,0.98542,0.97055,0.99347,0.71079,1.11431,0.7042,1.53589,0.000612683,0.000612683,0.000612683
45,477.899,0.96287,0.59458,1.44759,0.98155,0.99371,0.99487,0.66798,1.25089,0.6402,1.62596,0.000610327,0.000610327,0.000610327
46,487.767,0.93595,0.57781,1.42418,0.9975,0.99739,0.995,0.7135,1.08643,0.56434,1.48931,0.000607971,0.000607971,0.000607971
47,498.003,0.93679,0.57214,1.41082,0.99154,0.9863,0.99467,0.6983,1.15741,0.63464,1.541,0.000605615,0.000605615,0.000605615
48,508.098,0.95665,0.60552,1.43423,0.98766,0.98986,0.99494,0.69909,1.12118,0.6126,1.53895,0.000603259,0.000603259,0.000603259
49,518.108,0.95279,0.57069,1.42581,0.99429,0.99105,0.99492,0.71768,1.09663,0.6028,1.49332,0.000600902,0.000600902,0.000600902
50,528.298,0.93243,0.55854,1.41066,0.99176,0.99755,0.995,0.71848,1.04402,0.58453,1.47116,0.000598546,0.000598546,0.000598546
51,538.322,0.9193,0.55373,1.3896,0.99095,0.98945,0.99478,0.71636,1.11241,0.60295,1.521,0.00059619,0.00059619,0.00059619
52,548.35,0.87347,0.54304,1.34458,0.98629,0.99118,0.99463,0.73654,1.04636,0.58819,1.46764,0.000593834,0.000593834,0.000593834
53,558.327,0.89104,0.53971,1.36869,0.99555,0.99588,0.99494,0.68354,1.18298,0.56915,1.55457,0.000591478,0.000591478,0.000591478
54,568.121,0.90924,0.53423,1.38915,0.99266,0.99628,0.995,0.7226,1.04355,0.5581,1.45766,0.000589121,0.000589121,0.000589121
55,577.988,0.89468,0.53614,1.37089,0.97944,0.99558,0.994,0.71896,1.06947,0.55892,1.4715,0.000586765,0.000586765,0.000586765
56,588.036,0.90608,0.53777,1.38661,0.98869,0.98897,0.9947,0.72446,1.05501,0.56308,1.47043,0.000584409,0.000584409,0.000584409
57,597.769,0.90186,0.52432,1.38544,0.99151,0.99794,0.99482,0.67908,1.20732,0.55835,1.54828,0.000582053,0.000582053,0.000582053
58,607.634,0.89469,0.52453,1.37003,0.99448,0.99826,0.995,0.73038,1.05713,0.55013,1.46508,0.000579697,0.000579697,0.000579697
59,617.42,0.89544,0.51331,1.37225,0.9933,0.99041,0.99487,0.71971,1.05799,0.55327,1.48129,0.00057734,0.00057734,0.00057734
60,627.335,0.92125,0.55018,1.39485,0.98512,0.9937,0.995,0.73756,1.0625,0.56311,1.46473,0.000574984,0.000574984,0.000574984
61,637.259,0.8972,0.51778,1.37101,0.99274,0.99054,0.99487,0.73718,1.02564,0.54385,1.43794,0.000572628,0.000572628,0.000572628
62,646.904,0.87339,0.52208,1.34847,0.99468,0.99873,0.995,0.69333,1.13192,0.5421,1.51899,0.000570272,0.000570272,0.000570272
63,656.61,0.89566,0.51811,1.37033,0.99265,0.99824,0.995,0.70381,1.13393,0.5442,1.4963,0.000567916,0.000567916,0.000567916
64,666.429,0.8888,0.51483,1.34404,0.98476,0.99487,0.99382,0.7332,1.05848,0.56577,1.45587,0.000565559,0.000565559,0.000565559
65,676.102,0.8443,0.49876,1.32383,0.99215,0.99924,0.995,0.7313,1.07159,0.53793,1.46651,0.000563203,0.000563203,0.000563203
66,685.98,0.85858,0.49971,1.3346,0.98661,0.99666,0.99488,0.74004,1.01631,0.55865,1.4333,0.000560847,0.000560847,0.000560847
67,695.825,0.85478,0.49526,1.33147,0.98638,0.9947,0.99486,0.73065,1.01849,0.52367,1.43909,0.000558491,0.000558491,0.000558491
68,705.73,0.86979,0.50397,1.35088,0.9904,0.99422,0.99493,0.70164,1.14308,0.55848,1.49986,0.000556135,0.000556135,0.000556135
69,715.406,0.8609,0.50513,1.35105,0.99315,0.99886,0.995,0.70606,1.12891,0.52802,1.47706,0.000553778,0.000553778,0.000553778
70,725.269,0.81942,0.4884,1.31249,0.99532,0.99071,0.99479,0.7307,1.05439,0.5231,1.44212,0.000551422,0.000551422,0.000551422
71,734.879,0.87165,0.50273,1.33491,0.99611,0.99388,0.99355,0.7287,1.04089,0.53366,1.45366,0.000549066,0.000549066,0.000549066
72,744.507,0.83543,0.47882,1.30513,0.99712,0.99778,0.995,0.70264,1.13891,0.51436,1.50387,0.00054671,0.00054671,0.00054671
73,754.125,0.83856,0.47713,1.30473,0.99593,0.99799,0.995,0.73108,1.04023,0.51602,1.42839,0.000544354,0.000544354,0.000544354
74,763.804,0.85738,0.48793,1.30531,0.99701,0.99588,0.995,0.7007,1.12935,0.5207,1.49686,0.000541997,0.000541997,0.000541997
75,773.612,0.83373,0.48002,1.30063,0.99259,0.99936,0.99493,0.74161,1.00775,0.50784,1.41486,0.000539641,0.000539641,0.000539641
76,783.499,0.82934,0.47629,1.29731,0.98976,0.9986,0.99492,0.71665,1.08318,0.50425,1.4693,0.000537285,0.000537285,0.000537285
77,793.451,0.83511,0.47847,1.29691,0.9953,0.99519,0.995,0.73734,1.03474,0.52541,1.41976,0.000534929,0.000534929,0.000534929
78,803.095,0.79959,0.47515,1.26679,0.99133,0.99592,0.99492,0.73661,1.03423,0.51708,1.45156,0.000532573,0.000532573,0.000532573
79,812.663,0.80495,0.47148,1.26796,0.99243,0.99802,0.995,0.73614,1.03199,0.52137,1.44825,0.000530216,0.000530216,0.000530216
80,822.278,0.83135,0.48568,1.30068,0.99005,0.98749,0.99494,0.73975,1.03492,0.526,1.44201,0.00052786,0.00052786,0.00052786
81,832.028,0.80895,0.46902,1.27012,0.99098,0.99898,0.99482,0.73732,1.02836,0.50978,1.40497,0.000525504,0.000525504,0.000525504
82,841.838,0.81791,0.45768,1.27542,0.99379,0.99829,0.995,0.74724,1.02491,0.50444,1.41305,0.000523148,0.000523148,0.000523148
83,851.603,0.79352,0.4603,1.27387,0.99201,0.99346,0.995,0.73393,1.02378,0.5126,1.43721,0.000520792,0.000520792,0.000520792
84,861.295,0.79113,0.4674,1.27049,0.996,0.99747,0.995,0.72796,1.05475,0.49021,1.44196,0.000518435,0.000518435,0.000518435
85,870.973,0.78987,0.45163,1.25803,0.98849,0.99629,0.99493,0.73811,1.03658,0.50324,1.41971,0.000516079,0.000516079,0.000516079
86,880.666,0.80216,0.45068,1.27999,0.98835,0.99676,0.995,0.72609,1.07904,0.51414,1.46599,0.000513723,0.000513723,0.000513723
87,890.435,0.81497,0.45846,1.29895,0.98667,0.99834,0.99474,0.74342,1.01005,0.49676,1.40465,0.000511367,0.000511367,0.000511367
88,900.202,0.79115,0.45076,1.25361,0.9877,0.99838,0.995,0.75378,0.99722,0.4861,1.38313,0.000509011,0.000509011,0.000509011
89,909.954,0.80147,0.46318,1.2679,0.99602,1,0.995,0.72366,1.06407,0.49845,1.44603,0.000506654,0.000506654,0.000506654
90,919.801,0.80948,0.45181,1.27936,0.99471,0.99937,0.995,0.74025,1.02125,0.48845,1.41201,0.000504298,0.000504298,0.000504298
91,929.535,0.80367,0.45799,1.28072,0.99397,0.99961,0.995,0.71887,1.06087,0.49462,1.45061,0.000501942,0.000501942,0.000501942
92,939.222,0.79157,0.44441,1.25799,0.99295,0.99699,0.99494,0.73811,0.99936,0.48318,1.40655,0.000499586,0.000499586,0.000499586
93,949.025,0.8055,0.45436,1.26503,0.99618,0.99343,0.995,0.72887,1.05263,0.49732,1.42021,0.00049723,0.00049723,0.00049723
94,958.744,0.79294,0.43763,1.25734,0.99618,0.99644,0.995,0.73519,1.04132,0.48717,1.4248,0.000494873,0.000494873,0.000494873
95,968.4,0.80174,0.45119,1.26358,0.99321,0.99598,0.995,0.72921,1.04356,0.51515,1.445,0.000492517,0.000492517,0.000492517
96,978.221,0.77118,0.44003,1.235,0.99556,0.99613,0.995,0.74601,1.0214,0.49793,1.41887,0.000490161,0.000490161,0.000490161
97,987.863,0.75139,0.43633,1.23,0.99677,0.99464,0.995,0.75854,0.99286,0.47968,1.39685,0.000487805,0.000487805,0.000487805
98,997.572,0.76445,0.44032,1.23759,0.99432,0.9939,0.995,0.73727,1.02041,0.47861,1.42759,0.000485449,0.000485449,0.000485449
99,1007.26,0.76185,0.43373,1.24128,0.99486,0.99758,0.995,0.73675,1.02962,0.49026,1.43202,0.000483092,0.000483092,0.000483092
100,1017.02,0.77489,0.44275,1.24291,0.99468,0.99668,0.995,0.73383,1.03878,0.47893,1.42431,0.000480736,0.000480736,0.000480736
101,1026.65,0.79196,0.44144,1.26078,0.99503,0.99571,0.995,0.74286,1.02292,0.47236,1.41064,0.00047838,0.00047838,0.00047838
102,1036.46,0.78826,0.43547,1.26167,0.99792,0.99542,0.995,0.73745,1.01291,0.4844,1.4004,0.000476024,0.000476024,0.000476024
103,1046.22,0.7876,0.43193,1.2561,0.99658,0.99924,0.995,0.73667,1.02964,0.48869,1.42325,0.000473668,0.000473668,0.000473668
