epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,401.609,1.0857,0.83242,1.54437,0.96216,0.9382,0.98785,0.64537,1.35088,1.01138,1.73698,0.000656037,0.000656037,0.000656037
43,410.46,1.0666,0.78107,1.51164,0.97417,0.96688,0.99039,0.68458,1.17295,0.75645,1.60531,0.000654624,0.000654624,0.000654624
44,419.173,1.01949,0.73968,1.47352,0.98027,0.9899,0.99426,0.68504,1.18692,0.74556,1.59972,0.00065321,0.00065321,0.00065321
45,427.883,0.95901,0.72394,1.44424,0.99471,0.97951,0.99467,0.70013,1.11895,0.68577,1.54324,0.000651796,0.000651796,0.000651796
46,436.395,0.97578,0.74411,1.43743,0.94335,0.95959,0.98147,0.67235,1.19918,0.81436,1.63747,0.000650383,0.000650383,0.000650383
47,445.074,1.04592,0.74632,1.4795,0.97514,0.97815,0.9936,0.69616,1.14013,0.70998,1.57204,0.000648969,0.000648969,0.000648969
48,453.867,1.02344,0.71028,1.47219,0.96728,0.89946,0.96647,0.62836,1.26972,0.94977,1.71198,0.000647555,0.000647555,0.000647555
49,462.761,1.01015,0.68728,1.44642,0.94913,0.84654,0.96144,0.62595,1.31161,1.14289,1.70241,0.000646141,0.000646141,0.000646141
50,471.422,0.99648,0.69973,1.44176,0.97623,0.96723,0.9906,0.6642,1.25005,0.7761,1.68411,0.000644728,0.000644728,0.000644728
51,480.284,0.99094,0.6783,1.44135,0.96559,0.93581,0.98681,0.67211,1.18921,0.78198,1.61441,0.000643314,0.000643314,0.000643314
52,489.081,0.93634,0.67348,1.38268,0.98626,0.99256,0.99425,0.69979,1.11872,0.62752,1.52022,0.0006419,0.0006419,0.0006419
53,497.955,0.90407,0.65333,1.38306,0.99446,0.99588,0.99497,0.59384,1.37795,0.74646,1.77588,0.000640487,0.000640487,0.000640487
54,506.809,0.98786,0.65467,1.42659,0.97235,0.97043,0.99273,0.6934,1.15949,0.6981,1.56462,0.000639073,0.000639073,0.000639073
55,515.637,0.97979,0.66651,1.41837,0.98578,0.99294,0.99476,0.66108,1.19286,0.65504,1.58042,0.000637659,0.000637659,0.000637659
