epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,462.772,0.97584,0.6329,1.48523,0.98541,0.98769,0.99466,0.68891,1.17706,0.62149,1.55531,0.000617396,0.000617396,0.000617396
43,472.979,0.92502,0.60048,1.42928,0.99049,0.97858,0.99418,0.7042,1.14038,0.63072,1.53182,0.00061504,0.00061504,0.00061504
44,483.173,0.91914,0.60631,1.42015,0.99183,0.97396,0.99378,0.70573,1.10049,0.63794,1.53352,0.000612683,0.000612683,0.000612683
45,493.48,0.93547,0.61877,1.44855,0.98817,0.99348,0.995,0.64568,1.31996,0.65147,1.70471,0.000610327,0.000610327,0.000610327
46,503.712,0.93523,0.61066,1.43524,0.96979,0.9786,0.99227,0.71078,1.09759,0.64191,1.52027,0.000607971,0.000607971,0.000607971
47,513.894,0.93957,0.59559,1.43004,0.97828,0.98505,0.99415,0.69936,1.11506,0.6072,1.51449,0.000605615,0.000605615,0.000605615
48,524.202,0.93595,0.59253,1.42338,0.99262,0.98437,0.99476,0.72382,1.06411,0.62471,1.47916,0.000603259,0.000603259,0.000603259
49,534.459,0.92621,0.57946,1.42992,0.99376,0.98288,0.99432,0.72459,1.07992,0.70529,1.51659,0.000600902,0.000600902,0.000600902
50,544.74,0.94439,0.57071,1.44714,0.9875,0.99301,0.99486,0.70497,1.10941,0.63593,1.54226,0.000598546,0.000598546,0.000598546
51,554.907,0.93825,0.56221,1.42063,0.99153,0.99561,0.99463,0.71595,1.07191,0.59701,1.50811,0.00059619,0.00059619,0.00059619
52,565.147,0.89922,0.56335,1.38337,0.99159,0.99294,0.995,0.74734,1.01735,0.61995,1.4529,0.000593834,0.000593834,0.000593834
53,575.555,0.89935,0.56882,1.40308,0.99617,0.98233,0.99487,0.68381,1.16558,0.59758,1.56713,0.000591478,0.000591478,0.000591478
54,585.908,0.91684,0.55034,1.40623,0.98313,0.99631,0.99482,0.74098,1.03119,0.60838,1.44776,0.000589121,0.000589121,0.000589121
55,596.13,0.93108,0.55263,1.41704,0.98866,0.99546,0.99488,0.68751,1.18056,0.60015,1.57905,0.000586765,0.000586765,0.000586765
56,606.106,0.90932,0.54127,1.39667,0.98618,0.99598,0.99481,0.72465,1.05833,0.56066,1.45527,0.000584409,0.000584409,0.000584409
57,616.254,0.8913,0.55624,1.38872,0.98895,0.98796,0.99443,0.67558,1.19313,0.58469,1.55752,0.000582053,0.000582053,0.000582053
58,626.623,0.89819,0.54428,1.38588,0.99382,0.99673,0.995,0.72823,1.02747,0.54977,1.44946,0.000579697,0.000579697,0.000579697
59,636.734,0.91501,0.54126,1.40048,0.99809,0.99436,0.99494,0.70789,1.11941,0.59362,1.55689,0.00057734,0.00057734,0.00057734
60,646.895,0.9141,0.53505,1.4033,0.99381,0.99945,0.99497,0.72521,1.04035,0.54181,1.44922,0.000574984,0.000574984,0.000574984
61,657.098,0.89417,0.53191,1.38896,0.99422,0.98857,0.9947,0.73038,1.03423,0.55538,1.44821,0.000572628,0.000572628,0.000572628
62,667.171,0.9016,0.53582,1.39492,0.98926,0.99311,0.995,0.71675,1.06799,0.53978,1.4551,0.000570272,0.000570272,0.000570272
63,677.628,0.89652,0.53144,1.39071,0.99628,0.99676,0.995,0.71701,1.09632,0.54923,1.48618,0.000567916,0.000567916,0.000567916
64,687.628,0.89711,0.54539,1.37327,0.9925,0.99038,0.99487,0.73196,1.04728,0.58251,1.46237,0.000565559,0.000565559,0.000565559
65,698.18,0.86332,0.52033,1.35604,0.98805,0.98641,0.99437,0.73865,1.00267,0.59628,1.42378,0.000563203,0.000563203,0.000563203
66,708.238,0.87304,0.51636,1.36415,0.99286,0.99866,0.995,0.72995,1.04445,0.54173,1.45681,0.000560847,0.000560847,0.000560847
67,718.548,0.87911,0.51199,1.36417,0.99009,0.99795,0.995,0.71461,1.08577,0.54347,1.47122,0.000558491,0.000558491,0.000558491
68,728.838,0.89541,0.52187,1.39191,0.98798,0.99818,0.995,0.72388,1.039,0.55425,1.4555,0.000556135,0.000556135,0.000556135
69,739.082,0.87408,0.52385,1.3759,0.99584,0.99089,0.995,0.72937,1.06209,0.53705,1.44666,0.000553778,0.000553778,0.000553778
70,749.349,0.84741,0.4929,1.33679,0.9926,0.99694,0.995,0.7147,1.06712,0.52705,1.45384,0.000551422,0.000551422,0.000551422
71,759.858,0.8872,0.51047,1.36074,0.99561,0.99775,0.995,0.72651,1.05888,0.53859,1.4474,0.000549066,0.000549066,0.000549066
72,770.018,0.85975,0.50703,1.33644,0.98515,0.9898,0.99482,0.72899,1.05029,0.53454,1.46489,0.00054671,0.00054671,0.00054671
73,780.285,0.86656,0.4992,1.34553,0.9896,0.99882,0.995,0.73932,1.00957,0.53868,1.40029,0.000544354,0.000544354,0.000544354
74,790.374,0.85981,0.49868,1.32433,0.99308,1,0.99494,0.68944,1.1506,0.54838,1.52722,0.000541997,0.000541997,0.000541997
75,800.741,0.86111,0.49309,1.34057,0.99272,0.99931,0.995,0.73295,0.99874,0.5247,1.41921,0.000539641,0.000539641,0.000539641
76,810.825,0.83167,0.48906,1.3204,0.99255,0.98982,0.99492,0.73876,0.98033,0.51117,1.40582,0.000537285,0.000537285,0.000537285
77,820.996,0.86425,0.49952,1.32646,0.99563,0.99866,0.995,0.72583,1.04771,0.51405,1.4372,0.000534929,0.000534929,0.000534929
78,831.368,0.80885,0.48407,1.29233,0.99479,0.99797,0.995,0.73805,1.0017,0.51668,1.41932,0.000532573,0.000532573,0.000532573
79,841.642,0.85507,0.5041,1.33406,0.98937,0.99462,0.99494,0.72147,1.0355,0.5032,1.4329,0.000530216,0.000530216,0.000530216
80,851.853,0.82716,0.49202,1.30811,0.98295,0.99684,0.99474,0.74116,0.99971,0.52448,1.41756,0.00052786,0.00052786,0.00052786
81,862.344,0.82583,0.47427,1.30252,0.99239,0.99775,0.99494,0.73047,1.00179,0.51758,1.41484,0.000525504,0.000525504,0.000525504
82,872.643,0.82888,0.47166,1.31315,0.99028,0.99257,0.99468,0.73938,0.99523,0.50943,1.39647,0.000523148,0.000523148,0.000523148
83,883.004,0.83321,0.47788,1.33093,0.99464,0.99658,0.995,0.73155,1.03646,0.50858,1.42064,0.000520792,0.000520792,0.000520792
84,893.268,0.79397,0.46332,1.28161,0.99314,0.99928,0.995,0.748,1.0131,0.4944,1.41237,0.000518435,0.000518435,0.000518435
85,903.57,0.81094,0.46059,1.28636,0.99074,0.99911,0.99487,0.73776,0.96855,0.51231,1.39218,0.000516079,0.000516079,0.000516079
86,913.967,0.81761,0.46134,1.29836,0.99017,1,0.99471,0.73143,1.0263,0.51156,1.41287,0.000513723,0.000513723,0.000513723
87,924.346,0.8282,0.46388,1.32335,0.9928,0.98988,0.99442,0.7437,0.97337,0.51339,1.40185,0.000511367,0.000511367,0.000511367
88,934.782,0.79332,0.45879,1.26991,0.99277,0.99242,0.9949,0.72869,1.02031,0.49229,1.41158,0.000509011,0.000509011,0.000509011
